"Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics.","Table S10. PM2.5 income/SDI interaction, non-high-income robustness, and influence diagnostics."
Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.,Subtable 1. Pm25 interaction results.
Model id,Model label,Term,Term,Term,Estimate,Estimate,Robust se,Robust se,Robust se,Statistic,Statistic,P value,P value,Conf low,Conf low,Conf low,Conf high,Conf high,N,N,N,R-squared,Term label
interaction income binary,PM2.5 x high-income status,z PM2.5,z PM2.5,z PM2.5,0.08069391803099044,0.08069391803099044,0.022471440236227505,0.022471440236227505,0.022471440236227505,3.5909544373973463,3.5909544373973463,4.393764933002067e-4,4.393764933002067e-4,0.03631075455799421,0.03631075455799421,0.03631075455799421,0.12507708150398666,0.12507708150398666,162,162,162,0.027819825205186912,PM2.5 (non-high-income slope)
interaction income binary,PM2.5 x high-income status,z PM2.5:income binaryHigh-income,z PM2.5:income binaryHigh-income,z PM2.5:income binaryHigh-income,-0.13990176408271468,-0.13990176408271468,0.04901739540710786,0.04901739540710786,0.04901739540710786,-2.8541248044857963,-2.8541248044857963,0.004894550413067681,0.004894550413067681,-0.23671563317628697,-0.23671563317628697,-0.23671563317628697,-0.043087894989142395,-0.043087894989142395,162,162,162,0.027819825205186912,PM2.5 x high-income interaction
interaction SDI,PM2.5 x SDI,z PM2.5,z PM2.5,z PM2.5,0.027122121951816593,0.027122121951816593,0.024501627337759447,0.024501627337759447,0.024501627337759447,1.1069518598880452,1.1069518598880452,0.26998662472329277,0.26998662472329277,-0.021268499246898265,-0.021268499246898265,-0.021268499246898265,0.07551274315053146,0.07551274315053146,163,163,163,0.02031423240486113,PM2.5 at mean SDI
interaction SDI,PM2.5 x SDI,z PM2.5:z SDI,z PM2.5:z SDI,z PM2.5:z SDI,-0.05277269647685816,-0.05277269647685816,0.02432614976756457,0.02432614976756457,0.02432614976756457,-2.169381385097899,-2.169381385097899,0.03153894450337318,0.03153894450337318,-0.1008167501390125,-0.1008167501390125,-0.1008167501390125,-0.0047286428147038165,-0.0047286428147038165,163,163,163,0.02031423240486113,PM2.5 x SDI interaction
Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.,Subtable 2. Pm25 sdi tertile results.
SDI tertile,Model id,Model label,Model label,Term,Term,Estimate,Estimate,Robust se,Robust se,Robust se,Statistic,Statistic,P value,P value,P value,Conf low,Conf low,Conf high,Conf high,N,N,R-squared,Term label
Low SDI,SDI Low SDI,Low SDI,Low SDI,z PM2.5,z PM2.5,0.04130359148074369,0.04130359148074369,0.030189381388410222,0.030189381388410222,0.030189381388410222,1.368149646703269,1.368149646703269,0.17738244248968774,0.17738244248968774,0.17738244248968774,-0.019333565595632776,-0.019333565595632776,0.10194074855712015,0.10194074855712015,53,53,0.06606850099465696,z PM2.5
Middle SDI,SDI Middle SDI,Middle SDI,Middle SDI,z PM2.5,z PM2.5,0.12261043282208482,0.12261043282208482,0.06068767272354961,0.06068767272354961,0.06068767272354961,2.020351536309718,2.020351536309718,0.048720092817800806,0.048720092817800806,0.048720092817800806,7.156547810104746e-4,7.156547810104746e-4,0.24450521086315918,0.24450521086315918,53,53,0.1544626248661458,z PM2.5
